pertanyaan,jawaban
Apa tujuan utama dokumen TDDARN01SS?,"Menjelaskan spesifikasi, rancang bangun, proses desain dan analisis, serta rencana uji Rudal RN01-SS."
Apa ruang lingkup pengembangan RN01-SS?,"Spesifikasi teknis material, rancang bangun, proses pengembangan, dan sertifikasi."
Siapa lead integrator dalam program RN01-SS?,"PTDI."
Siapa saja anggota konsorsium pengembang RN01-SS?,"PTDI, PT Len, PT Pindad, PT Dahana, PT Aero Terra, PT Tress."
Program pengembangan RN01-SS bersifat apa?,"Multi year dengan reverse engineering."
Mengapa RN01-SS dikembangkan?,"Untuk meningkatkan kemandirian industri pertahanan nasional dalam sistem rudal."
Dokumen TDDARN01SS disusun dalam rangka apa?,"Sebagai dokumen teknis dasar pengembangan rudal permukaan ke permukaan."
Apa latar belakang pengembangan rudal RN01-SS?,"Kebutuhan sistem senjata nasional dan mengurangi ketergantungan impor."
Bagaimana sifat dokumen TDDARN01SS?,"Living document yang akan berkembang sesuai proses pengembangan."
Apa fungsi dokumen TDDARN01SS?,"Sebagai acuan desain, analisis, uji, dan sertifikasi rudal RN01-SS."
Apa visi program RN01-SS?,"Membangun rudal nasional berkemampuan fire and forget surface to surface."
Apa misi program RN01-SS?,"Melakukan reverse engineering, rancang bangun, dan integrasi sistem."
Kapan milestone awal program RN01-SS dimulai?,"Tahun 2020-an dalam kerangka riset kemandirian alutsista."
Apa pendekatan utama dalam pengembangan RN01-SS?,"Reverse engineering dan pengembangan baru sesuai kebutuhan."
Apa dasar pemilihan konsorsium pengembang?,"Kompetensi dan pengalaman industri strategis nasional di bidang kedirgantaraan, elektronika, propelan, dan senjata."
Apa tantangan utama dalam pengembangan rudal?,"Kompleksitas sistem multi-disiplin seperti aerodinamika, propulsi, guidance, dan kontrol."
Apa output yang diharapkan dari dokumen TDDARN01SS?,"Rancangan rudal siap prototipe untuk uji terbang."
Siapa pengguna akhir rudal RN01-SS?,"TNI Angkatan Laut."
Mengapa program ini disebut multi-year?,"Karena membutuhkan tahapan bertahun-tahun dari riset, desain, uji, hingga sertifikasi."
Apa arti reverse engineering dalam konteks RN01-SS?,"Menganalisis produk rudal luar negeri untuk mempelajari desain, lalu mengembangkan versi nasional."
Apa kontribusi PT Len dalam konsorsium?,"Mengembangkan sistem kendali, avionik, dan guidance."
Apa kontribusi PT Pindad dalam konsorsium?,"Integrasi mekanik dan sistem persenjataan."
Apa kontribusi PT Dahana dalam konsorsium?,"Penyedia bahan peledak dan propelan."
Apa kontribusi PT Aero Terra dalam konsorsium?,"Analisis aerodinamika dan struktur."
Apa kontribusi PT Tress dalam konsorsium?,"Sistem kontrol elektronik dan integrasi perangkat keras."
Mengapa RN01-SS diprioritaskan?,"Sebagai bagian dari roadmap kemandirian sistem rudal pertahanan maritim."
